,index,0
0,Time,1515
1,Driver,1515
2,DriverNumber,1515
3,LapTime,1512
4,LapNumber,1515
5,Stint,1515
6,PitOutTime,57
7,PitInTime,38
8,Sector1Time,1494
9,Sector2Time,1514
10,Sector3Time,1513
11,Sector1SessionTime,1492
12,Sector2SessionTime,1514
13,Sector3SessionTime,1513
14,SpeedI1,1391
15,SpeedI2,1514
16,SpeedFL,1476
17,SpeedST,1514
18,IsPersonalBest,1514
19,Compound,1515
20,TyreLife,1515
21,FreshTyre,1515
22,Team,1515
23,LapStartTime,1515
24,LapStartDate,1514
25,TrackStatus,1514
26,Position,1514
27,Deleted,1515
28,DeletedReason,1514
29,FastF1Generated,1515
30,IsAccurate,1515
