,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,LapNumber,Sector1Time,Sector2Time,Sector3Time,LapTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),RollingAverageLap
0,VER,,1.0,1.0,MEDIUM,1.0,1.0,,0 days 00:00:37.420000,0 days 00:00:21.053000,,,37.42,21.053,
1,VER,0 days 00:01:19.367000,2.0,1.0,MEDIUM,2.0,2.0,0 days 00:00:20.954000,0 days 00:00:37.366000,0 days 00:00:21.047000,79.367,20.954,37.366,21.047,79.367
2,VER,0 days 00:01:19.074000,3.0,1.0,MEDIUM,3.0,3.0,0 days 00:00:20.854000,0 days 00:00:37.288000,0 days 00:00:20.932000,79.074,20.854,37.288,20.932,79.2205
3,VER,0 days 00:01:18.129000,4.0,1.0,MEDIUM,4.0,4.0,0 days 00:00:20.835000,0 days 00:00:36.637000,0 days 00:00:20.657000,78.129,20.835,36.637,20.657,78.85666666666667
4,VER,0 days 00:01:18.019000,5.0,1.0,MEDIUM,5.0,5.0,0 days 00:00:20.745000,0 days 00:00:36.734000,0 days 00:00:20.540000,78.019,20.745,36.734,20.54,78.64725
5,VER,0 days 00:01:17.640000,6.0,1.0,MEDIUM,6.0,6.0,0 days 00:00:20.488000,0 days 00:00:36.550000,0 days 00:00:20.602000,77.64,20.488,36.55,20.602,78.4458
6,VER,0 days 00:01:17.633000,7.0,1.0,MEDIUM,7.0,7.0,0 days 00:00:20.483000,0 days 00:00:36.479000,0 days 00:00:20.671000,77.633,20.483,36.479,20.671,78.31033333333333
7,VER,0 days 00:01:17.397000,8.0,1.0,MEDIUM,8.0,8.0,0 days 00:00:20.432000,0 days 00:00:36.457000,0 days 00:00:20.508000,77.397,20.432,36.457,20.508,78.17985714285714
8,VER,0 days 00:01:17.031000,9.0,1.0,MEDIUM,9.0,9.0,0 days 00:00:20.438000,0 days 00:00:36.224000,0 days 00:00:20.369000,77.031,20.438,36.224,20.369,78.03625
9,VER,0 days 00:01:17.084000,10.0,1.0,MEDIUM,10.0,10.0,0 days 00:00:20.452000,0 days 00:00:36.232000,0 days 00:00:20.400000,77.084,20.452,36.232,20.4,77.93044444444445
10,VER,0 days 00:01:16.858000,11.0,1.0,MEDIUM,11.0,11.0,0 days 00:00:20.311000,0 days 00:00:36.150000,0 days 00:00:20.397000,76.858,20.311,36.15,20.397,77.8232
11,VER,0 days 00:01:16.993000,12.0,1.0,MEDIUM,12.0,12.0,0 days 00:00:20.386000,0 days 00:00:36.053000,0 days 00:00:20.554000,76.993,20.386,36.053,20.554,77.74772727272727
12,VER,0 days 00:01:17.434000,13.0,1.0,MEDIUM,13.0,13.0,0 days 00:00:20.811000,0 days 00:00:36.267000,0 days 00:00:20.356000,77.434,20.811,36.267,20.356,77.72158333333333
13,VER,0 days 00:01:17.065000,14.0,1.0,MEDIUM,14.0,14.0,0 days 00:00:20.338000,0 days 00:00:36.223000,0 days 00:00:20.504000,77.065,20.338,36.223,20.504,77.67107692307692
14,VER,0 days 00:01:17.079000,15.0,1.0,MEDIUM,15.0,15.0,0 days 00:00:20.271000,0 days 00:00:36.248000,0 days 00:00:20.560000,77.079,20.271,36.248,20.56,77.62878571428573
15,VER,0 days 00:01:16.824000,16.0,1.0,MEDIUM,16.0,16.0,0 days 00:00:20.269000,0 days 00:00:36.135000,0 days 00:00:20.420000,76.824,20.269,36.135,20.42,77.57513333333333
16,VER,0 days 00:01:16.860000,17.0,1.0,MEDIUM,17.0,17.0,0 days 00:00:20.186000,0 days 00:00:36.210000,0 days 00:00:20.464000,76.86,20.186,36.21,20.464,77.5304375
17,VER,0 days 00:01:16.712000,18.0,1.0,MEDIUM,18.0,18.0,0 days 00:00:20.148000,0 days 00:00:36.094000,0 days 00:00:20.470000,76.712,20.148,36.094,20.47,77.48229411764706
18,VER,0 days 00:01:16.823000,19.0,1.0,MEDIUM,19.0,19.0,0 days 00:00:20.223000,0 days 00:00:36.163000,0 days 00:00:20.437000,76.823,20.223,36.163,20.437,77.44566666666667
