,index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime(s),Sector1(s)
0,1,0 days 01:05:00.554000,VER,1,0 days 00:01:20.402000,2.0,1.0,,,0 days 00:00:24.186000,0 days 00:00:32.088000,0 days 00:00:24.128000,0 days 01:04:04.338000,0 days 01:04:36.426000,0 days 01:05:00.554000,252.0,257.0,276.0,295.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:40.152000,2023-06-04 13:04:40.159,1,1.0,False,,False,True,80.402,24.186
1,2,0 days 01:06:21.053000,VER,1,0 days 00:01:20.499000,3.0,1.0,,,0 days 00:00:24.167000,0 days 00:00:32.191000,0 days 00:00:24.141000,0 days 01:05:24.721000,0 days 01:05:56.912000,0 days 01:06:21.053000,249.0,256.0,276.0,297.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:00.554000,2023-06-04 13:06:00.561,1,1.0,False,,False,True,80.499,24.167
2,3,0 days 01:07:41.399000,VER,1,0 days 00:01:20.346000,4.0,1.0,,,0 days 00:00:24.022000,0 days 00:00:32.159000,0 days 00:00:24.165000,0 days 01:06:45.075000,0 days 01:07:17.234000,0 days 01:07:41.399000,255.0,256.0,276.0,300.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:21.053000,2023-06-04 13:07:21.060,1,1.0,False,,False,True,80.346,24.022
3,4,0 days 01:09:01.682000,VER,1,0 days 00:01:20.283000,5.0,1.0,,,0 days 00:00:24.034000,0 days 00:00:32.213000,0 days 00:00:24.036000,0 days 01:08:05.433000,0 days 01:08:37.646000,0 days 01:09:01.682000,254.0,256.0,277.0,301.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:07:41.399000,2023-06-04 13:08:41.406,1,1.0,False,,False,True,80.283,24.034
4,5,0 days 01:10:22.084000,VER,1,0 days 00:01:20.402000,6.0,1.0,,,0 days 00:00:24.009000,0 days 00:00:32.178000,0 days 00:00:24.215000,0 days 01:09:25.691000,0 days 01:09:57.869000,0 days 01:10:22.084000,255.0,253.0,276.0,,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:09:01.682000,2023-06-04 13:10:01.689,1,1.0,False,,False,True,80.402,24.009
5,6,0 days 01:11:42.560000,VER,1,0 days 00:01:20.476000,7.0,1.0,,,0 days 00:00:24.092000,0 days 00:00:32.224000,0 days 00:00:24.160000,0 days 01:10:46.176000,0 days 01:11:18.400000,0 days 01:11:42.560000,258.0,259.0,278.0,,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:10:22.084000,2023-06-04 13:11:22.091,1,1.0,False,,False,True,80.476,24.092
6,7,0 days 01:13:02.454000,VER,1,0 days 00:01:19.894000,8.0,1.0,,,0 days 00:00:23.827000,0 days 00:00:31.980000,0 days 00:00:24.087000,0 days 01:12:06.387000,0 days 01:12:38.367000,0 days 01:13:02.454000,256.0,264.0,276.0,,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:11:42.560000,2023-06-04 13:12:42.567,1,1.0,False,,False,True,79.894,23.827
7,8,0 days 01:14:22.736000,VER,1,0 days 00:01:20.282000,9.0,1.0,,,0 days 00:00:23.888000,0 days 00:00:32.180000,0 days 00:00:24.214000,0 days 01:13:26.342000,0 days 01:13:58.522000,0 days 01:14:22.736000,259.0,264.0,276.0,,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:13:02.454000,2023-06-04 13:14:02.461,1,1.0,False,,False,True,80.282,23.888
8,9,0 days 01:15:43.070000,VER,1,0 days 00:01:20.334000,10.0,1.0,,,0 days 00:00:23.937000,0 days 00:00:32.197000,0 days 00:00:24.200000,0 days 01:14:46.673000,0 days 01:15:18.870000,0 days 01:15:43.070000,261.0,265.0,277.0,302.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:14:22.736000,2023-06-04 13:15:22.743,1,1.0,False,,False,True,80.334,23.937
9,10,0 days 01:17:03.590000,VER,1,0 days 00:01:20.520000,11.0,1.0,,,0 days 00:00:24.003000,0 days 00:00:32.320000,0 days 00:00:24.197000,0 days 01:16:07.073000,0 days 01:16:39.393000,0 days 01:17:03.590000,258.0,263.0,277.0,,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:15:43.070000,2023-06-04 13:16:43.077,1,1.0,False,,False,True,80.52,24.003
